Current_Partner,Former_Partner,When_Relationship_Start,When_Relationship_end,Relationship_end_Since,Reason_Relationship_end,Reason_Relationship_end_misc,Relationship_Problem_end_time,Relationship_Status,Relationship_Status_misc,Years_With_Partner,Number_Children,Age_Children,Youngest_Age_Children,Oldest_Age_Children,Highest_Education_Completed,Education_Impacted_By_Partner,Both_Physician_or_Student,Stay_at_home_parent,Small_Business_Owner,Contractor_Freelancer,Part_time_employment_<30_hours,Full_Time_Employment_30<,Volunteer,Student,Unemployed_looking_work,Work_Misc,Career_Impact_Partner,Life_Satisfaction,Stress_Factor_Lack_Time,Stress_Factor_Business,Stress_Factor_Work_Overload,Stress_Factor_Work_Issues_Home,Primary_Cause_Stress,Primary_Cause_Stress_misc,Family_Quality_Life,Mental_QoL,Physical_QoL,Emotional_QoL,Sexual_QoL,Overall_QoL,Time_Alone_Partner,Quality_Time_Partner,Partner_Tired_After,Partner_Irritable_After,Partner_Busy_Work_After,Partner_Work_No_Participation,Partner_Argue_Work_Time,Partner_Participant_Household_Activities,Pride_Medical_Family,Partner_Show_Appreciation,Sacrificses_Worthwhile,Partner_Time_Children,Children_3_Concerns,Children_Health_Conditions,Children_Mental_Conditions,Children_Discipline,Children_Effective_Comunication,Childreen_Screentime,Children_Academic_Performance,Children_Entitlement,Children_Friends,Children_Bullying,Children_Substances,Children_Self_Esteem,Children_Nutrition,Children_Sleep,Children_Physical_Image,Children_Extracurricular,Children_Body_Image,Children_Other,Community_Left_Out,Community_Unknwon,Community_Isolated,Community_Detached,Fullfilment_Individual,Fulfillment_as_Partner,Fulfillment_as_Parent,7_Days_Sleep_Quality,7_Days_Sleep_Refresh,7_Day_Sleep_Problem,7_Day_Problem_Fall_Asleep,Time_Moderate_Exercise,Time_Vigorous_Exercise,Time_Strength_Training,Frequency_Engage_Hobbies,Frequency_Relaxation_Techniques,Frequency_Draw_Religion,Frequency_Worship_Services,Participate_Counseling,Participate_Counseling_if_Problem,Participate_Individual_Counseling,Participate_Family_Counseling,Participate_Marriage_Enrichment,Participate_Physiciatric_Care,Participate_Support_Groups,Participate_Stress_Management,Participate_Addiction_Program,Participate_Life_Coaching,Participate_Pastoral,Participate_Support_Groups,Household_Annual_Salary,Household_Loan_End_Residency,Household_Loan_Current,Years_Post_residemcu,Alternative_Income,Education_Current_You,Satisfaction_Financial_Life,Frequency_Finance_Conflict,Frequency_Financial_Decision,Frequency_Savings_Decision,Frequency_Investment_Decision,Hours_Partner_Work,At_Call_Days_Per_Month,What is your physician partner's primary practice setting?,Number_Hospitals_Hired_Cumulative,Partner_Specialty,Partner_Specialty_Misc,Partner_Surgical_Specialty,Partner_Surgical_Specialty_Misc,Week_Vacation_Year,Frequency_Medical_Conference_Together,Frequency_Alone_Travel,Opinion_Workplace_Family_Supportive,Opinion_Workplace_Family_Supportive_Misc,Opinion_Partner_More_Effort,Opinion_Partner_More_Effort_Misc,Frequency_Thought_Breakup,Choose_Physician_Again,Choose_Partner_Again,Recommend_Physician_Career_Family,Age,Gender,Gender_Misc,Partner_Gender,Partner_Gender_Misc,Region_Country,Region_Other
Yes,,,,,,,,Married,,1-5 years,0,,,,"Professional degree (e.g. JD, MD, DO, MBBS)",Positively,No,,,,,Yes,,,,,Not at all,59,Very stressful,Neither stressful or not stressful,Very stressful,Neither stressful or not stressful,lack of time,,70,40,49,54,38,70,46-60 minutes,46-60 minutes,A few times a month,A few times a month,Once a month or less,Frequently,Sometimes,Frequently,Sometimes,Frequently,Sometimes,Not applicable,not applicable,,,,,,,,,,,,,,,,,,Rarely,Rarely,Rarely,Sometimes,Somewhat fulfilled,Somewhat unfulfilled,,very poor,not at all,very much,very much,61-120 minutes per week,30-60 minutes per week,once per week,Weekly,Weekly,2-3 times per month,Weekly,I never have.,Would probably not go,,,,,,,,,,,$100K-$199K,$100K-$199K,$100K-$199K,0,Yes,Intern (PGY1),Very satisfied,Rarely,Usually,,,80-89 hrs,0,Hospital/Multi-physician group,0,family medicine,,,,2 weeks,Never,Never,Agree,"Families invited to events, significant others support each other, flexible in case if family emergencies ",Neither agree nor disagree,,,,,,27,Female,Woman,Male,Man,Southwest,
Yes,,,,,,,,Married,,6-10 years,2,,1,3,"Master's degree (e.g. MA, MS, Med)",Positively,,,,,,Yes,,,,,Negatively,45,Very stressful,Somewhat stressful,Very stressful,Very stressful,parenting young children,,45,71,70,65,50,49,46-60 minutes,21-45 minutes,A few times a week,A few times a week,A few times a week,Frequently,Frequently,Rarely,Frequently,Sometimes,Sometimes,20-44 minutes,,,mental and emotional needs,discipline/behavior,effective communication,,,,,,,,,,,,,,Usually,Sometimes,Sometimes,Rarely,Somewhat fulfilled,Somewhat fulfilled,Somewhat fulfilled,poor,a little bit,somewhat,somewhat,30-60 minutes per week,30-60 minutes per week,once per week,Monthly,Never,3-5 times per week,Weekly,"Yes, I did in the past.",Would definitely go,Individual counseling or therapy,,,,,,,,Pastoral,,$100K-$199K,$300K-$399K,$200K-$299K,0,No,3rd year residency (PGY3),Dissatisfied,Sometimes,Always,,,70-79 hrs,7+,"Not in practice, resident",0,family medicine,,,,1 week,Never,Yearly,Neither agree nor disagree,,Strongly agree,,34,No,Yes,No,31,Female,Woman,Male,Man,Southwest,
Yes,,,,,,,,Married,,1-5 years,0,,,,"Bachelor's degree (e.g. BA, BS)",Positively,,,,,,Yes,,,,,Not at all,90,Neither stressful or not stressful,Neither stressful or not stressful,Somewhat stressful,Somewhat stressful,household management,,90,85,85,90,75,95,91-120 minutes,61-90 minutes,Once a week,A few times a month,A few times a month,Sometimes,Rarely,Sometimes,Always,Frequently,Always,Not applicable,not applicable,,,,,,,,,,,,,,,,,,Never,Never,Never,Never,Very fulfilled,Very fulfilled,,fair,somewhat,a little bit,somewhat,30-60 minutes per week,<30 minutes per week,none,2-3 times per month,2-3 times per month,Daily,Weekly,"Yes, I did in the past.",Would definitely go,Individual counseling or therapy,Marriage or family counseling,,,,,,,Pastoral,,$50K-$99K,$200K-$299K,$100K-$199K,0,No,2nd year residency (PGY2),Neither satisfied nor dissatisfied,Sometimes,Sometimes,I do.,I do.,50-59 hrs,5,Hospital/Multi-physician group,0,family medicine,,,,2 weeks,Never,Few times a year,Strongly agree,"There are a lot of physicians, attendings, that understand family comes first. There's been many examples of other co-residents also stepping up to the plate to help with families that have new children, sickness, or time away.",Neither agree nor disagree,,,,,,26,Male,Man,Female,Woman,Southeast,
Yes,,,,,,,,Married,,6-10 years,2,,1,5,"Bachelor's degree (e.g. BA, BS)",Not at all,,,,,,Yes,,,,,Negatively,75,Very stressful,Neither stressful or not stressful,Very stressful,Somewhat stressful,parenting young children,,75,55,80,40,25,75,<20 minutes,<20 minutes,Every day,Every day,Every day,Frequently,Rarely,Rarely,Frequently,Sometimes,Sometimes,0-19 minutes,,medical/health conditions,mental and emotional needs,,,,,,,,,self-esteem/confidence,,,,,,,Sometimes,Usually,Usually,Sometimes,Very fulfilled,Somewhat unfulfilled,Very fulfilled,poor,a little bit,quite a bit,not at all,30-60 minutes per week,<30 minutes per week,none,Never,Never,Weekly,Monthly,"Yes, I did in the past.",Would probably go,Individual counseling or therapy,,,,,,,,,,$200K-$299K,$400K-$499K,$400K-$499K,0,No,7th year residency (PGY7) or greater,Neither satisfied nor dissatisfied,Sometimes,Usually,,,>90 hours,7+,Hospital/Multi-physician group,0,surgical specialty,,General,,2 weeks,Rarely,Never,Disagree,,Agree,Backup plans for coverage in case physician needs to call out sick or needs to stay home to care for sick kids (or watch kids if spouse is ill). Better paternity or maternity leave without fear of consequence when using it. ,,,,No,,Female,Woman,Male,Man,Northeast,
Yes,,,,,,,,Married,,11-20 years,3,,6,13,"Bachelor's degree (e.g. BA, BS)",Negatively,,Yes,,,Yes,,Volunteer,,,,Negatively,70,Somewhat stressful,Neither stressful or not stressful,Somewhat stressful,Neither stressful or not stressful,parenting young children,,70,65,80,75,60,80,21-45 minutes,61-90 minutes,A few times a week,A few times a month,A few times a week,Sometimes,Rarely,Always,Frequently,Always,Frequently,60-89 minutes,,,mental and emotional needs,,,,,,friends,,,,,,physical activity,,,,Sometimes,Rarely,Sometimes,Sometimes,Somewhat fulfilled,Somewhat fulfilled,,fair,somewhat,somewhat,somewhat,61-120 minutes per week,121-150 minutes per week,once per week,Weekly,2-3 times per month,3-5 times per week,2-3 times per month,"Yes, 1-2 times each month.",Would definitely go,Individual counseling or therapy,,,Psychiatric care,Support group,,,,Pastoral,,$500K-$599K,$200K-$299K,$1-$99K,6-10 years,No,,Very dissatisfied,Never,Usually,,,70-79 hrs,7+,Hospital/Multi-physician group,1,urology,,,,4 weeks,Rarely,Yearly,Disagree,,Strongly agree,Taking feedback from employees  about large hospital decisions rather than letting out of touch administration worry only about the bottom line and not care about how it affects morale at the hospital. ,0,Maybe,Yes,Maybe,42,Female,Woman,Male,Man,Midwest,
Yes,,,,,,,,Married,,6-10 years,2,,2,3,"Master's degree (e.g. MA, MS, Med)",Not at all,,Yes,,,,,,,,,Not at all,71,Somewhat stressful,Somewhat stressful,Somewhat stressful,Somewhat stressful,parenting young children,,58,51,49,57,53,70,21-45 minutes,46-60 minutes,Every day,A few times a week,A few times a week,Frequently,Sometimes,Frequently,Sometimes,Sometimes,Frequently,20-44 minutes,,,mental and emotional needs,discipline/behavior,,,,,,,,,,sleep habits,,,,,Rarely,Rarely,Rarely,Rarely,Somewhat fulfilled,Somewhat fulfilled,Neither unfulfilled or fulfilled,poor,not at all,very much,quite a bit,<30 minutes per week,<30 minutes per week,none,Never,Never,Daily,2-3 times per month,I never have.,Would definitely go,,,,,,,,,,,$50K-$99K,$0 ,$0 ,0,No,3rd year residency (PGY3),Neither satisfied nor dissatisfied,Sometimes,Sometimes,My spouse/partner does.,My spouse/partner does.,70-79 hrs,7+,"Not in practice, resident",0,family medicine,,,,1 week,Never,Never,Strongly disagree,,Strongly agree,Changing 24 hour shifts to end after 24 hours. Not 26 or 28 hours to get through rounds. ,1,Yes,Yes,Maybe,30,Female,Woman,Male,Man,Southwest,
Yes,,,,,,,,Married,,6-10 years,3,,8 months ,3 years,"Associate degree (e.g. AA, AS)",Not at all,,Yes,,,,,,,,,Negatively,85,Somewhat stressful,Neither stressful or not stressful,Somewhat stressful,Somewhat stressful,parenting young children,,89,75,95,90,90,90,46-60 minutes,21-45 minutes,A few times a week,Once a month or less,Every day,Sometimes,Sometimes,Frequently,Frequently,Always,Frequently,0-19 minutes,,,,discipline/behavior,,screen time,,,,,,,,sleep habits,,,,,Rarely,Rarely,Rarely,Rarely,Somewhat fulfilled,Very fulfilled,Somewhat fulfilled,fair,somewhat,quite a bit,very much,61-120 minutes per week,<30 minutes per week,none,Monthly,3-5 times per week,Daily,Weekly,"Yes, I did in the past.",Would probably go,Individual counseling or therapy,,,,Support group,,,,Pastoral,,$50K-$99K,$0 ,$0 ,0,No,3rd year residency (PGY3),Satisfied,Rarely,Always,,,80-89 hrs,7+,Active Military,0,urology,,,,2 weeks,Never,Yearly,Neither agree nor disagree,,Strongly agree,Hire secretary and more nurses/techs so the residents do not have to do as much administrative work that takes more of their time.,0,Maybe,Yes,Maybe,28,Female,Woman,Male,Man,Southeast,
Yes,,,,,,,,Married,,11-20 years,4,,0,6,High school degree or equivalent (e.g. GED),Not at all,,Yes,,,,,,,,,Not at all,72,Somewhat not stressful,Not stressful at all,Not stressful at all,Neither stressful or not stressful,parenting young children,,75,50,74,65,25,80,61-90 minutes,61-90 minutes,Once a month or less,Never,Once a week,Never,Never,Always,Rarely,Frequently,Sometimes,60-89 minutes,,,mental and emotional needs,discipline/behavior,,,,entitlement,,,,,,,,,,,Sometimes,Usually,Usually,Sometimes,Somewhat fulfilled,Somewhat fulfilled,Very fulfilled,good,quite a bit,a little bit,not at all,61-120 minutes per week,<30 minutes per week,three times per week,Weekly,Weekly,Daily,Weekly,I never have.,Would probably go,,,,,,,,,,,$0K-$49K,$100K-$199K,$100K-$199K,0,No,3rd year medical school (MS3),Dissatisfied,Sometimes,Always,,,30-39 hrs,0,"Not in practice, student",0,student,,,,2 weeks,Never,Yearly,Agree,"Allows for my husband to tend to family needs whenever needed (ie, doctors appointments, school events, etc) ",Neither agree nor disagree,,,,,,29,Female,Woman,Male,Man,Southeast,
Yes,,,,,,,,Married,,6-10 years,3,,7 months,6 years,"Bachelor's degree (e.g. BA, BS)",Not at all,,Yes,,,,,Volunteer,,,,Negatively,70,Very stressful,Neither stressful or not stressful,Very stressful,Somewhat stressful,parenting young children,,85,60,34,62,66,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,>20 years,2,,14,21,"Bachelor's degree (e.g. BA, BS)",Not at all,,Yes,,,Yes,,,,,Works part time (very minimal hours),Not at all,91,Not stressful at all,Not stressful at all,Not stressful at all,Somewhat not stressful,Other (please specify),None ,98,92,100,95,93,99,61-90 minutes,61-90 minutes,A few times a year or less,Never,Never,Never,Never,Frequently,Always,Always,Always,,,medical/health conditions,,discipline/behavior,,,,,,,,,,,,,,,Rarely,Rarely,Rarely,Rarely,Very fulfilled,Very fulfilled,Very fulfilled,good,quite a bit,somewhat,somewhat,>150 minutes per week (e.g. 2 1/2 hrs),61-120 minutes per week,once per week,2-3 times per month,Seldom,Weekly,Weekly,"Yes, I did in the past.",Would definitely go,,,,,,,,,Pastoral,,$400K-$499K,$0 ,$0 ,0,Yes,7th year residency (PGY7) or greater,Very satisfied,Never,Always,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,11-20 years,5+,,1,12,High school degree or equivalent (e.g. GED),Not at all,,Yes,,,,,,,,,Not at all,33,Very stressful,Very stressful,Very stressful,Very stressful,finances,,5,8,23,4,3,6,<20 minutes,<20 minutes,Every day,Every day,Every day,Frequently,Frequently,Never,Sometimes,Rarely,Never,0-19 minutes,,,mental and emotional needs,discipline/behavior,effective communication,screen time,,,,,,,nutrition/diet,,physical activity,,,,Always,Usually,Usually,Usually,Somewhat unfulfilled,Somewhat unfulfilled,Somewhat unfulfilled,poor,somewhat,a little bit,a little bit,30-60 minutes per week,<30 minutes per week,none,Never,Seldom,Monthly,Weekly,"Yes, I did in the past.",Would probably go,Individual counseling or therapy,,,,,Stress management,,,,,$50K-$99K,$1-$99K,$1-$99K,0,No,4th year residency (PGY4),Very dissatisfied,Always,Usually,,,80-89 hrs,7+,"Not in practice, resident",0,anesthesiology,,,,3 weeks,Rarely,Every few years,Strongly disagree,,Strongly disagree,,,,,,,Female,Woman,Male,Man,Mountain West,
Yes,,,,,,,,Married,,11-20 years,2,,6 months ,4 years old ,"Bachelor's degree (e.g. BA, BS)",Not at all,,Yes,,,,,,,,,Negatively,63,Somewhat stressful,Neither stressful or not stressful,Somewhat stressful,Neither stressful or not stressful,parenting young children,,64,34,68,41,40,52,21-45 minutes,46-60 minutes,A few times a month,A few times a year or less,A few times a month,Rarely,Never,Frequently,Sometimes,Frequently,Frequently,60-89 minutes,,,mental and emotional needs,,,,,,,,,,,,,extra-curricular activities,,"Having their dad miss out on big events in the future. While he can schedule around some things, he eventually misses a lot of other moments. ",Sometimes,Usually,Sometimes,Sometimes,Neither unfulfilled or fulfilled,Somewhat fulfilled,Neither unfulfilled or fulfilled,fair,a little bit,somewhat,not at all,61-120 minutes per week,30-60 minutes per week,once per week,2-3 times per month,Seldom,Never,Never,I never have.,Would probably go,,,,,,,,,,,$400K-$499K,$100K-$199K,$100K-$199K,1-5 years,No,,Satisfied,Never,Always,,,30-39 hrs,0,Hospital/Multi-physician group,1,emergency medicine,,,,0,Never,Never,Agree,"His employer does a fantastic job of getting the schedule out early, 90 days, so you can plan family time around the schedule. Additionally, they schedule the shifts really well. So when heâ€™s on nights itâ€™s 4 nights and weâ€™re on to the next style. Instead of jumping around randomly for nights or days. Lastly, very respectful in honoring requests off. ",Agree,"In residency, even though they claimed to be a â€œfamilyâ€ place and have a group for the spouses, they seriously dropped the ball. The spouses werenâ€™t treated very well. I understand Covid hit and they were a little busy, but the hospital program didnâ€™t even put in effort to try anything. It was highly talked about with rotating students, and encouraged that you never say a bad thing about the program. I felt almost betrayed when we arrived to residency. As if I was promised something and it wasnâ€™t delivered. The spouses just didnâ€™t feel supported, it was incredibly difficult if you had children, as most events werenâ€™t kid friendly. Even though it was advertised as kid friendly ",0,Maybe,Yes,No,34,Female,Woman,Male,Man,Other (please specify),South central? We live in Texas. 
Yes,,,,,,,,Married,,>20 years,3,,24,33,"Bachelor's degree (e.g. BA, BS)",Positively,,Yes,,,,,,,,,Not at all,100,Somewhat not stressful,Very stressful,Very stressful,Very stressful,aging parents,,100,80,70,90,95,96,91-120 minutes,21-45 minutes,Every day,Once a week,Every day,Rarely,Never,Sometimes,Always,Always,Always,Not applicable,,,mental and emotional needs,,,,academic performance,,,,,,,,physical activity,,,,Never,Never,Sometimes,Rarely,Very fulfilled,Very fulfilled,Very fulfilled,fair,a little bit,quite a bit,quite a bit,>150 minutes per week (e.g. 2 1/2 hrs),<30 minutes per week,twice per week,3-5 times per week,Seldom,Daily,Weekly,"Yes, I did in the past.",Would definitely go,Individual counseling or therapy,,,,,,,,,,$800K+,$0 ,$0 ,26-30 years,No,,Satisfied,Never,Usually,,,60-69 hrs,0,Private practice,2,surgical specialty,,Other (please specify),Otolaryngology ,> 7 weeks,Always,Twice a year,Strongly agree,Available to attend family activities. ,Strongly disagree,,,,,,57,Female,Woman,Male,Man,Southeast,
Yes,,,,,,,,Married,,6-10 years,1,2,,,"Bachelor's degree (e.g. BA, BS)",Not at all,,Yes,,,,,,,,,Negatively,100,Somewhat stressful,Somewhat stressful,Not stressful at all,Not stressful at all,finances,,100,100,100,100,100,100,>120 minutes,>120 minutes,Never,A few times a month,Once a month or less,Rarely,Never,Always,Always,Always,Always,60-89 minutes,,,,,,,,entitlement,,bullying,"substances (drugs, alcohol, vaping)",,,,,,,,Never,Never,Never,Never,Very fulfilled,Very fulfilled,Very fulfilled,good,somewhat,quite a bit,a little bit,121-150 minutes per week,121-150 minutes per week,four times per week or more,Daily,Seldom,Daily,Weekly,I never have.,Would definitely go,,,,,,,,,,,$50K-$99K,$0 ,$0 ,0,No,6th year residency (PGY6),Very dissatisfied,Usually,Always,,,50-59 hrs,6,Other (please specify),1,surgical specialty,,Other (please specify),"General, Minimally Invasive Specialized ",1 week,Sometimes,Never,Strongly agree,"They are kind, family friendly, and willing to accommodate scheduling if a family emergency arises. ",Neither agree nor disagree,,,,,,,,,,,,
Yes,,,,,,,,Married,,>20 years,4,,30,35,"Bachelor's degree (e.g. BA, BS)",Positively,,Yes,,,,,Volunteer,,,childcare for grandchildren,Negatively,,Somewhat stressful,Somewhat stressful,Somewhat stressful,Somewhat stressful,lack of time,,91,90,67,77,69,84,46-60 minutes,21-45 minutes,A few times a week,A few times a month,Once a week,Frequently,Rarely,Sometimes,Rarely,Frequently,Frequently,20-44 minutes,,,,,,,,,,,,,,,,,,,Rarely,Rarely,Rarely,Rarely,Somewhat fulfilled,Somewhat fulfilled,Very fulfilled,fair,somewhat,somewhat,somewhat,121-150 minutes per week,<30 minutes per week,once per week,Weekly,Daily,Daily,3-5 times per week,I never have.,Would definitely go,,,,,,,,,,,$300K-$399K,$1-$99K,$0 ,26-30 years,Yes,,Very satisfied,Rarely,Always,,,50-59 hrs,4,Hospital/Multi-physician group,1,anesthesiology,,,,> 7 weeks,Rarely,Few times a year,Strongly agree,They try to work together to help everyone get their needs met for family activities and other commitments.,Neither agree nor disagree,,,,,,60,Female,Woman,Male,Man,Midwest,
Yes,,,,,,,,Married,,11-20 years,0,,,,"Associate degree (e.g. AA, AS)",Not at all,,,,,,,Volunteer,,,Housewife,Negatively,100,Somewhat stressful,Somewhat not stressful,Somewhat stressful,Somewhat stressful,finances,,100,100,85,100,75,100,>120 minutes,>120 minutes,A few times a week,A few times a year or less,Once a week,Frequently,Never,Rarely,Frequently,Always,Always,Not applicable,not applicable,,,,,,,,,,,,,,,,,,Rarely,Never,Never,Rarely,Somewhat fulfilled,Somewhat fulfilled,,poor,quite a bit,quite a bit,quite a bit,>150 minutes per week (e.g. 2 1/2 hrs),<30 minutes per week,once per week,3-5 times per week,Weekly,Daily,Weekly,"Yes, I did in the past.",Would definitely go,Individual counseling or therapy,,,Psychiatric care,Support group,Stress management,,,,,$50K-$99K,$500K+,$500K+,0,No,2nd year residency (PGY2),Dissatisfied,Rarely,Rarely,I do.,I do.,80-89 hrs,2,"Not in practice, resident",0,pediatrics or related specialty,,,,3 weeks,Usually,Twice a year,Agree,Lots of residents are married with children. ,Strongly agree,Better work life balance. Typically one day off per week. A lot of hours required throughout workweek. ,0,Yes,Yes,Maybe,,,,,,,
Yes,,,,,,,,Married,,>20 years,3,,40,46,"Bachelor's degree (e.g. BA, BS)",Not at all,,,,,,,,,,stay at home,Negatively,,Somewhat stressful,Somewhat stressful,Somewhat stressful,Somewhat not stressful,Other (please specify),"Needing help in some aspects of managing home, finances, etc",63,71,63,47,30,60,61-90 minutes,21-45 minutes,Once a week,Once a week,Once a month or less,Sometimes,Never,Rarely,Sometimes,Rarely,Sometimes,Not applicable,not applicable,,,,,,,,,,,,,,,,,,Sometimes,Rarely,Sometimes,Sometimes,Somewhat fulfilled,Neither unfulfilled or fulfilled,,good,somewhat,a little bit,not at all,30-60 minutes per week,<30 minutes per week,none,Seldom,Seldom,Weekly,2-3 times per month,"Yes, I did in the past.",Would definitely go,Individual counseling or therapy,Marriage or family counseling,Marriage enrichment,,,,,,,,$400K-$499K,$1-$99K,$0 ,31+ years,Yes,,Neither satisfied nor dissatisfied,Sometimes,Sometimes,I do.,I do.,50-59 hrs,4,Hospital/Multi-physician group,4+,Other (please specify),Gastroenterology,,,3 weeks,Usually,,Neither agree nor disagree,,Agree,Understanding their needs in some aspects of the business. ,6,Maybe,Maybe,No,65,Female,Woman,Male,Man,Southeast,
Yes,,,,,,,,Married,,6-10 years,3,,4 months,5,"Bachelor's degree (e.g. BA, BS)",Not at all,,Yes,,,,,,,,,Negatively,94,Somewhat stressful,Neither stressful or not stressful,Somewhat stressful,Somewhat stressful,parenting young children,,93,80,89,83,84,91,61-90 minutes,21-45 minutes,A few times a week,A few times a month,Once a month or less,Frequently,Never,Sometimes,Always,Sometimes,Always,20-44 minutes,,,,discipline/behavior,effective communication,,,,,,,,,,,extra-curricular activities,,,Sometimes,Sometimes,Sometimes,Sometimes,Very fulfilled,Very fulfilled,Very fulfilled,poor,a little bit,a little bit,not at all,30-60 minutes per week,<30 minutes per week,once per week,Weekly,Seldom,Daily,Weekly,I never have.,Would definitely go,,,,,,,,,,,$50K-$99K,$200K-$299K,$200K-$299K,0,No,2nd year residency (PGY2),Dissatisfied,Sometimes,Always,,,50-59 hrs,4,"Not in practice, resident",0,psychiatry,,,,4 weeks,Never,Every few years,Agree,Inviting families to some events,Strongly agree,More family-friendly events ,1,Yes,Yes,Yes,30,Female,Woman,Male,Man,Southwest,
Yes,,,,,,,,Married,,11-20 years,1,1,,,"Master's degree (e.g. MA, MS, Med)",Not at all,,,,,,Yes,,,,,Not at all,70,Very stressful,Neither stressful or not stressful,Very stressful,Somewhat stressful,finances,,76,74,59,52,49,75,61-90 minutes,21-45 minutes,A few times a week,A few times a month,Once a week,Sometimes,Rarely,Rarely,Sometimes,Frequently,Frequently,45-59 minutes,,,mental and emotional needs,,effective communication,,,,,,,,nutrition/diet,,,,,,Sometimes,Sometimes,Rarely,Never,Very fulfilled,Somewhat fulfilled,Somewhat fulfilled,good,somewhat,somewhat,not at all,61-120 minutes per week,<30 minutes per week,twice per week,Weekly,Seldom,Never,Never,I never have.,Would probably go,,,,,,,,,,,$100K-$199K,$400K-$499K,$200K-$299K,1-5 years,No,,Dissatisfied,Sometimes,Sometimes,I do.,I do.,50-59 hrs,4,Hospital/Multi-physician group,0,anesthesiology,,,,3 weeks,Rarely,Twice a year,Neither agree nor disagree,,Agree,,9,Maybe,Yes,No,30,Female,Woman,Male,Man,Northeast,
Yes,,,,,,,,Married,,11-20 years,1,O,,,"Bachelor's degree (e.g. BA, BS)",Not at all,,,,,,Yes,,,,,Negatively,80,Very stressful,Neither stressful or not stressful,Very stressful,Somewhat stressful,lack of time,,73,73,82,57,75,73,61-90 minutes,61-90 minutes,Once a week,A few times a week,Once a week,Frequently,Sometimes,Frequently,Frequently,Frequently,,60-89 minutes,,,,,,screen time,,,,,,self-esteem/confidence,,,,,body image,,Rarely,Rarely,Rarely,Rarely,Very fulfilled,Very fulfilled,Somewhat fulfilled,good,quite a bit,a little bit,a little bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,,,,,,,,Married,,>20 years,2,,7,9,"Bachelor's degree (e.g. BA, BS)",Negatively,,Yes,,,,,Volunteer,,,,Positively,67,Somewhat stressful,Somewhat stressful,Somewhat stressful,Somewhat stressful,isolation from friends and family,,53,33,47,36,48,53,46-60 minutes,61-90 minutes,Once a week,A few times a week,Every day,Sometimes,Rarely,Sometimes,Frequently,Frequently,Frequently,20-44 minutes,,,mental and emotional needs,,effective communication,,,,,,,self-esteem/confidence,,,,,,,Usually,Usually,Usually,Usually,Somewhat fulfilled,Somewhat fulfilled,Somewhat fulfilled,fair,somewhat,quite a bit,quite a bit,61-120 minutes per week,30-60 minutes per week,twice per week,3-5 times per week,2-3 times per month,Never,Never,"Yes, several times a year.",Would probably go,Individual counseling or therapy,,,Psychiatric care,,Stress management,,,,,,,,1-5 years,No,,Neither satisfied nor dissatisfied,Sometimes,Sometimes,My spouse/partner does.,My spouse/partner does.,70-79 hrs,7+,Hospital/Multi-physician group,1,surgical specialty,,Other (please specify),Otolaryngology ,2 weeks,Rarely,Every few years,Neither agree nor disagree,,Agree,,12,Maybe,Yes,Maybe,42,Female,Woman,Male,Man,Southwest,
Yes,,,,,,,,Married,,11-20 years,2,,2,4,"Bachelor's degree (e.g. BA, BS)",Not at all,,,,,,Yes,,,,Mom,Negatively,69,Somewhat stressful,Somewhat stressful,Somewhat stressful,Very stressful,parenting young children,,73,51,40,52,7,63,21-45 minutes,21-45 minutes,A few times a week,A few times a month,A few times a week,Frequently,Rarely,Sometimes,Sometimes,Rarely,Sometimes,45-59 minutes,,,mental and emotional needs,discipline/behavior,,,,,,,,,,,physical activity,,,,Sometimes,Sometimes,Sometimes,Sometimes,Neither unfulfilled or fulfilled,Neither unfulfilled or fulfilled,Somewhat fulfilled,fair,somewhat,a little bit,not at all,<30 minutes per week,<30 minutes per week,none,3-5 times per week,Never,Never,Never,I never have.,Would probably go,,,,,,,,,,,$50K-$99K,$100K-$199K,$100K-$199K,0,No,4th year medical school (MS4),Dissatisfied,Rarely,Sometimes,My spouse/partner does.,My spouse/partner does.,60-69 hrs,0,"Not in practice, student",0,internal medicine or related specialty,,,,3 weeks,Never,Never,Agree,My partner was able to take time off from school when I was diagnosed with cancer. ,Agree,,0,Yes,Yes,No,35,Female,Woman,Male,Man,Mountain West,
